City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mont-dore,-22.2833,166.5833,84.99,99,60,13.91,NC,1708486149
1,grytviken,-54.2811,-36.5092,36.9,85,100,10.89,GS,1708486149
2,naze,28.3667,129.4833,74.32,75,32,16.31,JP,1708486149
3,port-aux-francais,-49.35,70.2167,46.15,90,100,35.9,TF,1708486149
4,aykhal,66.0,111.5,-9.87,99,93,6.06,RU,1708486149
5,minas de marcona,-15.2119,-75.1103,67.26,84,79,6.22,PE,1708486150
6,nagqu,31.5,92.0,24.57,18,56,25.88,CN,1708486150
7,hawaiian paradise park,19.5933,-154.9731,74.03,72,20,9.22,US,1708486150
8,nar'yan-mar,67.6713,53.087,5.11,91,90,10.0,RU,1708486150
9,nema,57.5067,50.5011,2.75,99,100,6.38,RU,1708486150
10,waitangi,-43.9535,-176.5597,59.83,71,14,3.0,NZ,1708486151
11,codrington,-38.2667,141.9667,88.43,27,0,9.22,AU,1708486151
12,vadso,70.0744,29.7487,14.16,67,59,11.5,NO,1708486151
13,edinburgh of the seven seas,-37.0676,-12.3116,63.81,71,99,16.13,SH,1708486151
14,st. john's,47.5649,-52.7093,17.78,79,40,35.68,CA,1708486072
15,palmer,42.1584,-72.3287,27.14,72,0,0.0,US,1708486152
16,akureyri,65.6835,-18.0878,28.33,80,0,3.44,IS,1708486152
17,yellowknife,62.456,-114.3525,0.41,90,75,8.01,CA,1708486152
18,bethel,41.3712,-73.414,27.05,63,0,3.44,US,1708486152
19,tabas,33.5959,56.9244,39.42,52,0,2.3,IR,1708486152
20,port mathurin,-19.6833,63.4167,79.84,69,100,26.15,MU,1708486152
21,college,64.8569,-147.8028,46.72,62,75,3.44,US,1708486152
22,blackmans bay,-43.0167,147.3167,79.74,59,45,1.99,AU,1708486152
23,avarua,-21.2078,-159.775,80.65,94,75,9.22,CK,1708486152
24,betio village,1.358,172.9211,89.64,80,61,16.33,KI,1708486153
25,colonia,50.9333,6.95,48.96,78,100,6.91,DE,1708486153
26,uttar char fasson,22.2332,90.7132,77.18,76,1,3.67,BD,1708486153
27,iqaluit,63.7506,-68.5145,-16.31,62,75,18.41,CA,1708486153
28,adamstown,-25.066,-130.1015,78.76,84,100,8.23,PN,1708486153
29,puerto ayora,-0.7393,-90.3518,79.56,96,100,1.01,EC,1708486153
30,mundo novo,-11.8589,-40.4725,70.61,95,97,2.1,BR,1708486154
31,constantia,44.1833,28.65,36.7,87,100,5.26,RO,1708486154
32,tefe,-3.3542,-64.7114,77.52,67,69,1.99,BR,1708486154
33,acarau,-2.8856,-40.12,74.91,96,100,1.9,BR,1708486154
34,noyabrsk,63.1994,75.4507,-0.89,90,99,25.84,RU,1708486154
35,dudinka,69.4058,86.1778,4.68,93,100,28.99,RU,1708486154
36,howrah,22.5892,88.3103,78.8,83,20,4.61,IN,1708486155
37,bilibino,68.0546,166.4372,-4.18,80,16,8.43,RU,1708486155
38,arraial do cabo,-22.9661,-42.0278,75.06,95,100,13.87,BR,1708486155
39,singkil,-7.9855,111.4161,87.55,71,55,3.09,ID,1708486155
40,jamestown,42.097,-79.2353,37.71,75,13,4.0,US,1708485966
41,lae,-6.7221,146.9847,84.47,75,99,3.78,PG,1708486155
42,nuuk,64.1835,-51.7216,38.01,28,35,21.85,GL,1708485960
43,afaahiti,-17.75,-149.2833,84.07,79,75,6.64,PF,1708486156
44,arvayheer,46.2639,102.775,-5.64,55,24,4.36,MN,1708486156
45,kapuskasing,49.4169,-82.4331,24.89,74,75,9.22,CA,1708486156
46,walvis bay,-22.9575,14.5053,63.55,82,94,6.71,NA,1708486156
47,saipan,15.1355,145.701,84.9,58,40,24.56,MP,1708486156
48,urangan,-25.3,152.9,82.51,63,100,4.92,AU,1708486156
49,sete,43.4018,3.6966,44.46,61,100,2.21,FR,1708486156
50,kununurra,-15.7667,128.7333,80.58,94,75,6.91,AU,1708486156
51,egilsstadir,65.2653,-14.3948,28.31,80,100,8.05,IS,1708486157
52,carnarvon,-24.8667,113.6333,87.03,51,100,24.0,AU,1708486157
53,las heras,-46.5419,-68.9359,60.44,64,99,12.55,AR,1708486157
54,gweru,-19.45,29.8167,56.8,88,0,5.19,ZW,1708486157
55,bredasdorp,-34.5322,20.0403,67.19,80,50,9.37,ZA,1708486157
56,am timan,11.0297,20.2827,76.44,16,9,4.5,TD,1708486157
57,juneau,58.3019,-134.4197,38.1,100,100,10.36,US,1708486140
58,polyarnyy,69.1989,33.4478,4.01,95,56,9.06,RU,1708485949
59,hotan,37.0997,79.9269,25.63,76,97,2.3,CN,1708486158
60,invercargill,-46.4,168.35,61.02,69,64,8.01,NZ,1708485880
61,'alaqahdari dishu,30.4374,63.313,48.02,33,1,5.82,AF,1708486158
62,iskateley,67.6803,53.1512,5.02,91,92,10.0,RU,1708486158
63,nevel'sk,46.6733,141.8633,12.51,76,100,23.04,RU,1708486158
64,puerto penasco,31.3167,-113.5333,61.92,86,89,1.99,MX,1708486158
65,west island,-12.1568,96.8225,87.78,66,94,6.91,CC,1708486158
66,porto-vecchio,41.591,9.2795,49.53,100,0,3.44,FR,1708486159
67,pisco,-13.7,-76.2167,77.05,83,100,14.97,PE,1708486159
68,magong,23.5654,119.5863,74.77,84,2,18.88,TW,1708486159
69,alta,69.9689,23.2717,20.46,84,100,11.5,NO,1708486159
70,verkh-chebula,56.0308,87.6218,-8.55,84,100,3.42,RU,1708486159
71,papatowai,-46.5619,169.4708,57.85,69,96,7.54,NZ,1708486159
72,tiksi,71.6872,128.8694,-27.83,95,43,5.14,RU,1708486160
73,villa bruzual,9.3328,-69.1208,79.12,60,11,9.31,VE,1708486160
74,bozkurt,41.9577,34.0109,42.58,78,8,3.91,TR,1708486160
75,albany,42.6001,-73.9662,26.58,65,4,1.99,US,1708486160
76,ilulissat,69.2167,-51.1,28.42,40,0,20.71,GL,1708486160
77,isafjordur,66.0755,-23.124,22.23,91,100,4.41,IS,1708486160
78,bamboo flat,11.7,92.7167,80.69,65,89,2.3,IN,1708486161
79,port saint john's,-31.6229,29.5448,71.44,92,2,3.65,ZA,1708486161
80,vorgashor,67.5833,63.95,16.09,92,100,15.79,RU,1708486150
81,rawdon,46.0501,-73.7159,12.13,98,80,2.42,CA,1708486025
82,aktau,43.65,51.2,30.78,77,98,8.63,KZ,1708486161
83,qaqortoq,60.7167,-46.0333,25.39,71,100,7.81,GL,1708486161
84,rumbek,6.802,29.6912,84.4,17,100,3.44,SS,1708486161
85,troia,41.3631,15.3124,42.98,81,6,4.14,IT,1708486162
86,ribeira grande,38.5167,-28.7,62.78,89,100,15.01,PT,1708486162
87,georgetown,5.4112,100.3354,89.94,74,20,4.61,MY,1708486162
88,essaouira,31.5125,-9.77,60.3,88,0,4.61,MA,1708486162
89,margaret river,-33.95,115.0667,70.27,66,94,15.82,AU,1708486162
90,geraldton,-28.7667,114.6,86.41,48,19,14.97,AU,1708486162
91,samalut,28.3121,30.7101,51.96,72,2,9.13,EG,1708486162
92,lichinga,-13.3128,35.2406,64.49,94,75,6.91,MZ,1708486162
93,zhumysker,49.3333,49.4,13.64,94,11,6.62,KZ,1708486163
94,port blair,11.6667,92.75,80.64,65,92,2.3,IN,1708486163
95,rongelap,11.1635,166.8941,79.81,83,100,20.94,MH,1708486163
